Node1,Node2,Weight
44,727,15
1035,185,15
716,885,15
45,1207,15
1050,203,15
398,334,15
229,426,15
64,1399,15
93,394,15
1153,696,15
394,1319,15
173,448,15
1324,643,15
1236,1262,15
813,188,15
240,1022,15
584,1299,15
971,1428,15
1187,371,15
516,682,15
808,431,15
355,1145,15
1482,1331,15
629,1494,15
758,683,15
659,486,16
35,689,16
1066,199,16
357,604,16
701,1248,16
1446,825,16
880,1142,16
1353,766,16
1453,401,16
1175,1200,16
1095,144,16
1146,1376,16
1493,1419,16
198,1351,16
969,1406,16
237,913,16
1455,175,17
989,1449,17
182,334,17
37,106,17
47,875,17
47,1259,17
62,1017,17
708,874,17
653,478,17
120,297,17
621,1491,17
1319,303,17
1221,996,17
1109,261,17
299,245,17
874,755,17
1419,1077,17
340,805,17
816,823,17
7,797,18
8,1478,18
716,883,18
41,174,18
47,87,18
1197,698,18
686,286,18
70,477,18
529,535,18
1480,187,18
1060,1221,18
275,1341,18
142,1464,18
672,980,18
155,1198,18
402,1385,18
534,1206,18
1180,1451,18
997,1490,18
1182,1288,18
1479,903,18
438,759,18
585,1167,18
388,1353,19
108,1453,19
918,344,19
20,254,19
190,1213,19
1315,1055,19
605,832,19
41,1312,19
310,1303,19
503,588,19
876,342,19
993,575,19
184,995,19
1392,249,19
1408,312,19
539,250,19
911,1229,19
339,637,19
558,1158,19
431,1113,19
436,1410,19
605,908,20
1050,319,20
54,949,20
946,1104,20
1300,593,20
1060,803,20
463,456,20
621,580,20
543,1193,20
309,909,20
145,468,20
160,977,20
293,1485,20
298,898,20
1479,1261,20
17,1029,21
254,405,21
254,572,21
29,1315,21
34,684,21
37,834,21
1355,252,21
1030,857,21
156,1073,21
183,948,21
697,329,21
1469,1299,21
1485,602,21
667,456,21
1110,1015,21
3,920,22
586,452,22
361,85,22
18,985,22
1202,1060,22
274,312,22
284,93,22
71,147,22
189,1487,22
1466,301,22
915,1470,22
789,350,22
199,531,22
570,1382,23
920,652,23
1066,417,23
475,792,23
58,615,23
115,1209,23
1466,704,23
146,217,23
1109,1316,23
180,267,23
743,656,23
450,740,23
1267,417,23
406,1426,23
695,368,23
1449,802,23
631,527,23
332,836,24
586,1470,24
1430,1170,24
19,344,24
1266,421,24
61,1001,24
1037,511,24
856,739,24
1149,636,24
1319,1288,24
240,799,24
298,1190,24
924,933,24
1435,1427,25
922,668,25
24,109,25
132,242,25
398,1248,25
1019,1245,25
1040,1396,25
138,543,25
1024,923,25
573,789,25
288,992,25
487,1188,25
1049,1125,25
245,1114,25
825,1078,25
33,810,26
860,1205,26
660,1291,26
1026,484,26
1170,487,26
1268,1166,26
686,67,26
1001,755,26
955,1324,26
1133,1318,26
360,1462,26
103,576,26
113,379,26
124,990,26
554,1457,26
195,830,26
343,564,26
350,1127,26
816,1436,26
1488,1108,27
435,104,27
228,651,27
63,607,27
325,763,27
99,151,27
1024,1201,27
745,506,27
379,1264,27
754,411,27
349,207,27
157,768,27
428,837,27
220,1138,27
913,823,27
312,315,27
968,809,27
1161,1335,27
345,770,28
492,665,28
1251,121,28
465,1121,28
115,1100,28
1269,1068,28
888,1313,28
1289,265,28
1434,633,28
1049,883,28
1114,1158,28
466,976,28
667,680,28
540,903,28
937,1219,28
918,217,29
345,785,29
1283,1423,29
44,787,29
36,1247,29
658,913,29
955,695,29
1094,1350,29
1366,1450,29
451,772,29
380,867,29
1397,1206,29
1146,205,29
718,628,29
385,1204,29
976,1013,29
3,1455,30
1435,1357,30
492,1042,30
798,51,30
17,935,30
843,181,30
834,360,30
788,324,30
304,1270,30
955,1494,30
1089,1294,30
1099,785,30
200,626,30
970,392,30
1487,1346,30
1392,1078,30
179,449,30
179,300,30
299,1254,30
735,1255,30
313,1328,30
508,1294,30
1181,979,31
935,462,31
92,708,31
689,206,31
274,231,31
305,630,31
362,702,31
1473,337,31
197,923,31
427,631,31
1284,1034,31
396,1074,31
855,59,32
819,878,32
12,1306,32
659,346,32
684,97,32
40,716,32
1381,1412,32
591,533,32
70,1148,32
848,1018,32
708,515,32
1453,1134,32
119,573,32
440,163,32
1117,837,32
1434,414,32
853,1490,32
878,965,32
316,593,32
643,699,32
1455,705,33
1216,1016,33
425,1366,33
475,549,33
53,460,33
500,539,33
1362,523,33
1463,389,33
173,137,33
573,152,33
736,386,33
899,352,33
1218,1248,33
768,215,33
237,406,33
260,430,33
521,1062,33
1256,1067,33
1000,95,34
1263,1377,34
413,1346,34
956,366,34
103,1237,34
1099,994,34
124,161,34
349,442,34
1140,883,34
269,804,34
755,832,34
1071,883,34
492,1471,35
786,1163,35
852,304,35
1197,1151,35
840,144,35
887,909,35
674,169,35
522,343,35
201,801,35
1489,1444,35
359,1295,35
1240,1074,35
484,936,35
1158,832,35
1038,1219,35
408,90,36
345,1206,36
25,1000,36
475,1227,36
46,473,36
1355,612,36
477,1175,36
71,529,36
79,914,36
653,850,36
1458,1210,36
1429,703,36
899,1167,36
478,962,36
215,1403,36
238,1376,36
443,565,37
566,227,37
1441,1019,37
1144,282,37
935,691,37
1223,307,37
1000,1346,37
26,662,37
27,393,37
338,1450,37
399,1203,37
1247,513,37
1089,623,37
1484,600,37
91,1153,37
1480,759,37
282,1238,37
348,540,37
900,912,37
311,1240,37
640,652,37
718,385,37
1181,598,38
1043,714,38
787,856,38
45,310,38
1053,881,38
52,1446,38
973,80,38
80,451,38
940,1132,38
542,245,38
145,1224,38
1434,806,38
612,604,38
340,513,38
691,1121,38
655,760,38
526,468,39
15,638,39
1033,583,39
728,543,39
1023,573,39
555,1071,39
360,645,39
117,545,39
1378,1409,39
458,1059,39
1305,729,39
502,1139,39
1062,1260,39
175,301,40
967,503,40
35,877,40
579,632,40
574,648,40
304,1275,40
1197,893,40
658,1340,40
472,1304,40
555,911,40
104,635,40
297,1341,40
970,558,40
882,245,40
194,612,40
992,496,40
898,456,40
1132,1142,40
849,1402,40
1081,1277,41
17,1043,41
1257,221,41
19,659,41
1156,262,41
285,1476,41
32,605,41
784,1373,41
62,405,41
1089,898,41
1205,977,41
661,617,41
741,1326,41
166,1104,41
156,617,41
617,572,41
1111,721,41
827,1428,41
484,1410,41
1191,988,41
0,1497,42
3,586,42
365,1123,42
130,1218,42
467,936,42
171,951,42
715,1486,42
446,884,42
320,1047,42
901,929,42
494,1225,42
347,582,42
815,507,42
980,723,42
642,1432,42
1141,659,43
601,450,43
526,889,43
51,1352,43
330,1420,43
1186,1034,43
155,1319,43
705,649,43
406,324,43
984,779,43
1077,1414,43
318,346,43
490,372,44
244,900,44
1168,1379,44
234,504,44
239,124,44
877,626,44
1098,396,44
1312,735,44
921,758,44
51,1103,44
611,514,44
162,1411,44
130,185,44
112,210,44
116,1030,44
117,1269,44
1236,1470,44
243,697,44
215,462,44
943,1432,44
1407,1054,44
1046,1192,44
1451,1448,44
1106,883,44
683,1199,44
314,1238,45
109,173,45
701,721,45
1195,1203,45
503,813,45
1103,1105,45
1285,1484,45
274,1092,45
930,1005,45
95,128,45
591,1007,45
538,128,45
1292,711,45
162,1140,45
1030,1115,45
970,186,45
1351,1248,45
264,265,45
337,592,45
929,321,45
1337,809,45
1337,1276,45
570,930,46
1440,78,46
6,1181,46
1122,139,46
1122,575,46
526,1265,46
416,684,46
1338,1018,46
357,156,46
357,437,46
32,1035,46
605,895,46
574,278,46
949,948,46
228,1079,46
65,319,46
141,1030,46
1362,1485,46
647,618,46
1317,1414,46
362,447,46
1236,246,46
248,1443,46
1138,375,46
913,333,46
654,792,46
975,1027,46
1067,1015,46
1243,379,47
86,641,47
1057,1209,47
61,1303,47
387,1274,47
128,754,47
1292,1265,47
736,466,47
1160,423,47
971,214,47
1493,382,47
261,478,47
984,821,47
1377,333,47
355,371,47
1297,207,48
1122,310,48
393,657,48
1360,636,48
574,1180,48
783,246,48
353,1059,48
102,1124,48
104,746,48
719,459,48
439,705,48
163,1221,48
675,1158,48
481,370,48
1460,630,48
1115,756,48
750,717,48
1051,1343,48
7,175,49
15,1189,49
35,762,49
1348,1285,49
762,541,49
1287,129,49
87,422,49
720,760,49
95,1212,49
1133,991,49
230,1491,49
559,1260,49
813,1436,49
839,1090,49
1165,961,49
308,929,49
494,836,49
1391,1119,49
959,1159,50
1144,698,50
43,1231,50
46,979,50
686,624,50
1303,842,50
64,847,50
498,522,50
1028,122,50
1484,320,50
387,924,50
981,263,50
765,1238,50
1117,698,50
172,910,50
1434,459,50
830,585,50
247,767,50
1165,331,50
968,1361,50
1215,1295,50
924,820,50
877,1169,51
283,772,51
221,1002,51
221,1171,51
852,402,51
1017,103,51
63,538,51
1094,1034,51
111,130,51
672,1401,51
380,484,51
691,434,51
792,1357,51
3,972,52
164,1470,52
716,1372,52
847,78,52
848,1123,52
1272,951,52
902,885,52
844,723,52
1097,1078,52
1370,1169,52
1200,943,52
769,785,52
1092,696,52
501,1407,52
1384,374,52
1439,952,53
53,398,53
253,866,53
62,1040,53
235,501,53
341,522,53
115,1227,53
135,1097,53
994,414,53
879,1025,53
780,1080,53
192,287,53
669,637,53
377,916,53
989,65,54
19,578,54
1315,868,54
373,770,54
37,86,54
999,84,54
921,742,54
732,294,54
1352,941,54
54,168,54
1091,1383,54
480,945,54
100,510,54
133,1336,54
649,992,54
610,1142,54
430,655,54
6,819,55
1435,479,55
10,1309,55
1155,809,55
168,1445,55
1001,899,55
720,1336,55
973,744,55
189,743,55
1429,1443,55
523,1010,55
674,277,55
369,403,55
1397,706,55
544,682,55
777,449,55
193,1405,55
277,1332,55
1088,1054,55
860,925,56
174,446,56
1446,758,56
63,591,56
235,774,56
848,455,56
491,329,56
872,575,56
1213,433,56
290,359,56
332,669,57
445,1244,57
609,246,57
684,1222,57
461,1188,57
473,142,57
465,1433,57
732,495,57
1226,1482,57
114,537,57
126,1258,57
1137,1495,57
1375,1344,57
781,839,57
267,553,57
483,685,57
680,1386,57
579,1491,58
87,1422,58
52,775,58
95,1480,58
1458,220,58
1227,1073,58
1265,750,58
1198,1320,58
583,1211,58
326,1271,58
269,850,58
458,374,58
630,371,58
867,1394,58
471,652,58
530,1327,58
1430,568,59
1474,596,59
1345,861,59
39,461,59
43,574,59
615,946,59
687,888,59
72,1393,59
96,135,59
1317,1483,59
1473,604,59
167,444,59
326,986,59
1162,1194,59
512,695,60
972,1310,60
14,314,60
254,1061,60
1263,204,60
1348,1130,60
53,1050,60
77,1094,60
1480,1327,60
647,1494,60
100,1292,60
1021,1045,60
525,464,60
181,432,60
343,1184,60
1403,1051,60
262,712,60
458,639,60
778,464,60
363,1214,60
1413,252,61
243,343,61
1217,581,61
937,1193,61
1426,1164,61
528,961,61
1430,474,62
1208,1039,62
566,245,62
1035,1492,62
45,1279,62
1352,551,62
826,851,62
70,795,62
71,1246,62
1246,557,62
611,670,62
1024,369,62
1237,294,62
894,1139,62
1224,1068,62
1267,588,62
1168,486,63
1314,982,63
132,367,63
407,1431,63
1303,853,63
1001,940,63
931,984,63
569,485,63
176,1200,63
232,874,63
1018,818,63
1162,1071,63
1081,1314,64
1081,1201,64
859,1281,64
1355,259,64
79,499,64
130,177,64
198,644,64
560,1239,64
808,862,64
764,1067,64
1440,1217,65
1178,348,65
12,1069,65
31,1348,65
1197,1400,65
99,887,65
647,1307,65
1120,1018,65
621,751,65
1104,550,65
301,354,65
406,650,65
1376,624,65
808,347,65
1256,375,65
382,1475,65
711,1128,65
291,1065,66
921,796,66
404,1017,66
949,1143,66
472,84,66
131,505,66
394,114,66
952,143,66
129,899,66
222,1196,66
1048,488,66
324,841,66
570,1234,67
934,983,67
55,73,67
1123,988,67
1323,553,67
366,1154,67
30,132,68
859,1045,68
1050,724,68
292,1305,68
118,275,68
1226,358,68
555,165,68
81,189,68
700,731,68
1258,771,68
919,551,68
158,334,68
444,273,68
944,1128,68
2,747,69
638,1177,69
561,611,69
1389,1244,69
826,277,69
608,295,69
692,452,69
184,157,69
224,444,69
1405,944,69
391,366,69
1105,1012,69
1204,1344,69
108,1069,70
601,1050,70
221,627,70
1454,731,70
168,426,70
720,932,70
498,1228,70
75,1272,70
1272,879,70
1140,1486,70
1201,335,70
1065,851,70
63,687,71
1094,1330,71
480,1467,71
517,484,71
558,381,71
1264,646,71
631,1071,71
415,1402,72
609,713,72
897,115,72
1325,1087,72
692,482,72
243,1005,72
169,326,72
250,688,72
1356,1344,72
1134,710,72
385,729,72
1122,861,73
822,947,73
1223,1112,73
426,1495,73
386,370,73
370,1203,73
1230,1417,74
41,407,74
47,1454,74
61,255,74
319,524,74
519,204,74
986,502,74
829,1428,74
1367,642,74
793,340,75
376,216,75
94,97,75
1466,1318,75
127,719,75
1172,1109,75
263,441,75
1305,1442,75
10,800,76
1091,865,76
341,134,76
98,902,76
635,768,76
1154,1349,76
817,396,76
2,48,77
101,307,77
57,930,77
472,462,77
1001,256,77
1028,1498,77
440,1342,77
1336,429,77
773,693,77
984,619,77
824,613,77
1488,1009,78
101,1098,78
242,1103,78
607,773,78
206,1174,78
1270,328,78
620,359,78
1485,1003,78
1482,1191,78
78,864,79
124,1404,79
492,1101,80
226,969,80
1496,1354,80
560,302,80
479,1159,80
1390,476,81
10,1107,81
931,702,81
951,752,81
370,563,81
750,751,81
1157,1409,82
23,376,83
1000,1011,83
46,1381,83
223,232,83
485,1215,83
128,790,84
463,807,84
1087,1421,84
896,1031,84
1171,957,84
317,313,84
855,1424,85
1283,696,85
877,216,85
479,1322,85
8,890,86
83,341,86
131,1004,86
1290,799,86
275,567,86
281,1058,86
16,1168,87
878,476,87
361,764,88
10,457,88
190,1450,88
784,942,88
73,998,88
946,730,88
75,226,88
1280,974,88
1044,441,88
1489,382,88
1147,1331,88
1046,424,88
1446,552,89
65,966,89
1383,845,89
1118,504,89
1044,1048,89
1460,409,89
1220,857,89
1302,1369,89
92,1242,90
211,384,90
964,1252,90
1050,214,90
548,1278,90
1496,1420,90
192,299,90
445,322,91
29,1041,91
348,815,91
574,625,92
520,458,92
998,928,92
120,440,92
562,1217,92
1039,907,93
180,1082,93
751,1020,93
493,1054,94
296,316,94
1217,1421,94
18,415,95
662,772,95
614,370,95
776,1395,95
233,649,95
873,1112,95
323,494,95
580,1070,95
701,454,96
32,1085,96
125,776,96
678,1184,96
506,664,96
814,816,96
834,263,97
139,1064,97
1326,1448,97
787,76,98
114,616,98
1328,1090,98
11,989,99
1095,585,99
1140,1086,99
533,757,99
733,1459,99
490,996,100
173,241,100
288,148,100
1395,383,100
276,705,101
722,113,101
1076,322,101
1355,351,101
1020,1235,101
920,82,102
22,1329,102
503,1452,102
1032,220,102
1232,171,103
662,571,104
1347,694,104
89,657,104
1481,1005,105
671,1152,105
1427,663,106
1083,528,106
13,1441,107
594,390,109
1407,1072,109
1165,469,109
947,599,110
1339,245,110
1296,1125,111
671,534,111
306,1132,112
506,886,112
1003,737,112
1001,268,113
551,677,113
1025,1468,114
287,1056,115
1336,419,117
1152,1075,117
150,741,118
196,455,118
859,791,119
1301,824,120
535,1063,120
843,1258,121
253,589,121
1150,1118,121
80,1388,121
939,1490,121
946,178,123
319,906,123
1484,676,125
726,1496,125
204,896,125
1242,1179,126
1214,927,126
1178,1371,127
14,1380,127
585,811,127
229,410,128
666,828,128
1265,1249,128
689,280,129
978,1324,129
40,153,130
1109,1425,131
649,1282,131
975,1222,131
1,332,132
49,1023,133
386,725,133
905,1010,133
88,115,135
178,390,135
1474,590,137
748,1371,137
56,1019,139
669,1398,140
1363,821,140
890,1286,141
954,479,141
595,1410,141
30,707,142
938,917,142
894,424,142
556,751,142
1049,1273,142
912,904,143
356,1308,145
21,947,149
852,597,150
388,270,151
846,854,151
904,1135,153
1198,863,156
435,1293,159
835,857,159
576,225,162
1493,1416,162
1434,266,164
425,547,167
282,412,170
18,1102,171
586,140,172
1251,154,172
494,1364,178
345,191,179
145,1116,189
215,1084,191
1086,1321,197
